,ref_number,recipient_legal_name,recipient_city,prog_name_en,prog_purpose_en,agreement_title_en,agreement_number,agreement_value,agreement_start_date,agreement_end_date,description_en,expected_results_en,additional_information_en,owner_org_title
354425,GC-WD-DEO-2009-2010-Q2-00105,Village of Delburne|Municipalité de Delburne,"Delburne, AB",,Support building a new spray park to complement Delburne's current recreational facilities,,8028,105000,6/30/09,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354426,GC-WD-DEO-2009-2010-Q2-00106,The City of Edmonton and Area Council #17|Ville d'Edmonton et conseil du secteur 17,"Edmonton, AB",,Provide for the redesign and development of G. Edmund Kelly Water Spray Park,,8204,126647,7/28/09,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354427,GC-WD-DEO-2009-2010-Q3-00207,Charleswood Senior Centre Inc.,"Winnipeg, MB",,Re-develop garage,,10486,128568,10/8/09,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354428,GC-WD-DEO-2009-2010-Q2-00107,La Crete Agricultural Society|La société agricole de La Crete,"La Crete, AB",,"Assist in maintaining, repairing and improving heritage buildings, tractors and equipment",,9704,53240,8/19/09,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354429,GC-WD-DEO-2009-2010-Q2-00108,The Corporation of the Village of Silverton,"Silverton, BC|Silverton, C.-B.",,Build a new washroom facility at Silverton campground,,10144,99000,8/19/09,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354430,GC-WD-DEO-2009-2010-Q2-00109,Town of Grenfell|Municipalité de Grenfell,"Grenfell, SK",,Upgrade interior and exterior of swimming pool/arena complex,,10331,201566,8/7/09,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354431,GC-WD-DEO-2009-2010-Q2-00110,Village of Thorsby|Village de Thorsby,"Thorsby, AB",,Support the redevelopment and reconfiguration of Thorsby Recreational Complex,,9009,333333,7/31/09,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354432,GC-WD-DEO-2009-2010-Q2-00111,Tolko Industries Ltd. - Okanagan Regional Woodlands,"Lumby, BC|Lumby, C.-B.",,Pine beetle management,,10742,76375,8/19/09,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354433,GC-WD-DEO-2009-2010-Q2-00114,"Bell Barn Society of Indian Head, Inc.","Indian Head, SK",,Reconstruct historic round stone Bell Barn,,9886,700000,7/16/09,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354434,GC-WD-DEO-2009-2010-Q2-00115,Town of Tisdale|Municipalité de Tisdale,"Tisdale, SK",,"Upgrade the zamboni room, sound system, exterior wall, flooring, Plexiglas and washrooms",,10318,205166,8/7/09,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354435,GC-WD-DEO-2009-2010-Q2-00116,Friends of Medalta Society,"Medicine Hat, AB",,Support building upgrades and renovations at the Medalta Potteries National Historic Site,,9684,3046920,8/19/09,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354436,GC-WD-DEO-2009-2010-Q2-00117,KDC Forestry Consulting Ltd.,"Clearwater, BC|Clearwater, C.-B.",,Maintenance to existing snowmobile trails,,10731,43667,8/19/09,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354437,GC-WD-DEO-2009-2010-Q2-00118,Granville Park Lawn Bowling Club,"Vancouver, BC|Vancouver, C.-B.",,Replace and upgrade bowling green lighting and perimeter fence,,9178,70000,8/19/09,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354438,GC-WD-DEO-2009-2010-Q2-00119,District of Chetwynd|District de Chetwynd,"Chetwynd, BC|Chetwynd, C.-B.",,Develop and maintain trails that connect significant points of attraction,,10242,320660,7/10/09,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354439,GC-WD-DEO-2009-2010-Q2-00120,Municipality of Crowsnest Pass|Municipalité de Crowsnest Pass,"Blairmore, AB",,Support development of asphalt trail from Emerald Lake to Leitch Collieries,,10389,184400,7/31/09,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354440,GC-WD-DEO-2009-2010-Q2-00121,Shuswap Recreation Society,"Salmon Arm, BC|Salmon Arm, C.-B.",,Install shower facility and bleachers at Sunwave Centre,,9244,30202,8/10/09,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354441,GC-WD-DEO-2009-2010-Q2-00124,Sunshine Coast Regional District|District régional de Sunshine Coast,"Sechelt, BC|Sechelt, C.-B.",,Renovate Pender Harbour Aquatic and Fitness Centre,,9192,661370,8/21/09,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354442,GC-WD-DEO-2009-2010-Q2-00125,Tl'etinqox-t'in Government Office|Bureau administratif de Tl'etinqox-t'in,"Alexis Creek, BC|Alexis Creek, C.-B.",,Ecosystem restoration and fence renovation,,10498,343089,7/30/09,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354443,GC-WD-DEO-2009-2010-Q2-00126,Slocan Integral Forestry Cooperative,"Winlaw, BC|Winlaw, C.-B.",,Eradicate invasive plants along roadway and interface area,,10492,108296,7/30/09,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354444,GC-WD-DEO-2009-2010-Q2-00127,Canadian Hydrogen and Fuel Cell Association|Association canadienne de l'hydrogène et des piles à combustible,"Vancouver, BC|Vancouver, C.-B.",,Showcase BC Hydrogen Highway during the 2010 Olympics,,7993,200000,6/29/09,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354445,GC-WD-DEO-2009-2010-Q2-00128,Town of Beausejour|Municipalité de Beausejour,"Beausejour, MB",,Retrofit the Sun Gro Centre Ice Plant System,,8004,151769,6/5/09,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354446,GC-WD-DEO-2009-2010-Q2-00129,Village of Beechy|Village de Beechy,"Beechy, SK",,Replace arena boards and improve wheelchair accessibility in Beechy Civic Centre,,8007,55285,6/5/09,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354447,GC-WD-DEO-2009-2010-Q2-00130,Regional Municipality of Wood Buffalo|Municipalité régionale de Wood Buffalo,"Fort McMurray, AB",,"Construct portable roof structures for outdoor rinks in Anzac, Conklin, Janvier and Saprae",,8035,1000000,6/4/09,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354448,GC-WD-DEO-2009-2010-Q2-00131,St. Vital Mustangs Inc.,"Winnipeg, MB",,Redevelop St. Vital Mustangs football field and lighting system,,8891,138600,6/29/09,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354449,GC-WD-DEO-2009-2010-Q2-00132,Sunshine Coast Botanical Garden Society,"Sechelt, BC|Sechelt, C.-B.",,Create an eco-friendly botanical garden,,10018,717077,8/19/09,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354450,GC-WD-DEO-2009-2010-Q2-00133,Neskonlith Indian Band|Bande indienne de Neskonlith,"Chase, BC|Chase, C.-B.",,Enhance on-reserve range and farmland and remove wildfire fuel,,9659,986538,8/19/09,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354451,GC-WD-DEO-2009-2010-Q2-00134,City of Grand Forks|Ville de Grand Forks,"Grand Forks, BC|Grand Forks, C.-B.",,Install a community fibre optic network,,6981,405000,4/20/09,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354452,GC-WD-DEO-2009-2010-Q2-00135,Northern Development Initiative Trust,"Prince George, BC|Prince George, C.-B.",,Deliver repayable Community Adjustment Fund loans to business in the NDIT region of BC,,10422,19891991,8/10/09,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354453,GC-WD-DEO-2009-2010-Q2-00136,The City of Calgary|Ville de Calgary,"Calgary, AB",,Support a series of improvements and enhancements to the Rose Kohn arena,,10430,615050,8/19/09,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354454,GC-WD-DEO-2009-2010-Q2-00137,The Calgary Rosedale Community Association,"Calgary, AB",,Support replacement of recreational equipment storage shed and deck,,8930,30064,8/7/09,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354455,GC-WD-DEO-2009-2010-Q2-00138,The Corporation of the City of Port Coquitlam|La Corporation de la ville de Port Coquitlam,"Port Coquitlam, BC|Port Coquitlam, C.-B.",,Renovate Hyde Creek Recreation Centre,,10663,889911,8/19/09,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354456,GC-WD-DEO-2009-2010-Q2-00147,Haynes Contracting,"Rock Creek, BC|Rock Creek, C.-B.",,Ecosystem restoration activities including removal of fallen trees,,10724,66853,8/19/09,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354457,GC-WD-DEO-2009-2010-Q2-00149,Town of Kelvington|Municipalité de Kelvington,"Kelvington, SK",,"Improve wheelchair access in arena and replace plumbing, doors and flooring",,9536,78281,8/19/09,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354458,GC-WD-DEO-2009-2010-Q2-00139,The Governors of the University of Calgary|Conseil des gouverneurs de l'Université de Calgary,"Calgary, AB",,Assist Alberta Team in Washington Solar Decathlon Competition and 2010 Olympics showcase,,7838,150000,7/15/09,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354459,GC-WD-DEO-2009-2010-Q2-00140,100 Mile House and District Soccer Association|Association de soccer de 100 Mile House et du district,"100 Mile House, BC|100 Mile House, C.-B.",,Construct two soccer fields in 100 Mile House,,8096,193637,7/16/09,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354460,GC-WD-DEO-2009-2010-Q2-00141,Agence nationale et internationale du Manitoba,"Winnipeg, MB",,Support Centrallia - International Business to Business Forum,,7937,718000,7/30/09,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354461,GC-WD-DEO-2009-2010-Q2-00142,Aboriginal Business Service Network Society|Société du Réseau de services aux entreprises autochtones,"Kamloops, BC|Kamloops, C.-B.",,Deliver the Aboriginal Business Service Network Program,,7944,156370,8/19/09,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354462,GC-WD-DEO-2009-2010-Q2-00143,The Corporation of the City of Grand Forks|Corporation de la ville de Grand Forks,"Grand Forks, BC|Grand Forks, C.-B.",,Construct a 3.9 kilometer pedestrian walkway and bike path with wheelchair access,,8215,712000,8/19/09,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354463,GC-WD-DEO-2009-2010-Q2-00144,Roblin Shell River Hillsburg Recreation Commission|Commission des loisirs de Roblin Shell River Hillsburg,"Roblin, MB",,Rehabilitate the Arena wall and structure improvements,,10208,26595,9/4/09,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354464,GC-WD-DEO-2009-2010-Q2-00146,The University of British Columbia|Université de la Colombie-Britannique,"Kelowna, BC|Kelowna, C.-B.",,Upgrade the artificial turf field at University of BC - Okanagan campus,,8239,211878,7/16/09,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354465,GC-WD-DEO-2009-2010-Q2-00150,Cheslatta Community Forest,"Burns Lake, BC|Burns Lake, C.-B.",,Increase accessibility by clearing paths along several historical trails,,10869,187051,9/19/09,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354466,GC-WD-DEO-2009-2010-Q2-00151,Rural Municipality of Lawrence|Municipalité rurale de Lawrence,"Rorketon, MB",,Construct Lawrence Multi-Plex Centre,,8051,191171,6/29/09,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354467,GC-WD-DEO-2009-2010-Q2-00152,Chauvin Agricultural Society and the Village of Chauvin|Chauvin Agricultural Society,"Chauvin, AB",,Support the renovations and upgrades of the Village of Chauvin's arena,,8052,107068,6/4/09,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354468,GC-WD-DEO-2009-2010-Q2-00153,Town of Imperial|Municipalité d'Imperial,"Imperial, SK",,Construct a recreational park and make improvements to the curling rink,,10181,32340,8/19/09,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354469,GC-WD-DEO-2009-2010-Q2-00154,Northern Rockies Regional Municipality|Municipalité régionale de Northern Rockies,"Fort Nelson, BC|Fort Nelson, C.-B.",,Eliminate hazardous trees on cross country ski trails,,10238,75000,7/10/09,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354470,GC-WD-DEO-2009-2010-Q2-00155,Ralph Brown Community Centre Inc.,"Winnipeg, MB",,Rehabilitate the community centre kitchen facilty,,9079,34118,7/30/09,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354471,GC-WD-DEO-2009-2010-Q2-00156,District of Sparwood|District de Sparwood,"Sparwood, BC|Sparwood, C.-B.",,Replace the roof of the Sparwood Leisure Centre,,8365,70000,7/2/09,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354472,GC-WD-DEO-2009-2010-Q2-00213,Oceanside Scaling & Residue,"Campbell River, BC|Campbell River, C.-B.",,Improve the historic Beaver Lodge Forests Lands in Campbell River,,10503,207535,7/30/09,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354473,GC-WD-DEO-2009-2010-Q2-00157,Industrial Forestry Service Ltd.,"Prince George, BC|Prince George, C.-B.",,Complete hazardous tree removal and routine recreation site maintenance to improve safety,,10880,309022,9/19/09,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354474,GC-WD-DEO-2009-2010-Q2-00166,Mt. Washington Ski Resort Ltd.,"Mount Washington, BC|Mount Washington, C.-B.",,"Ecosystem restoration activities including removal of slash, debris and invasive plants",,10723,225810,8/19/09,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354475,GC-WD-DEO-2009-2010-Q2-00158,Alexis Creek Indian Band|Bande indienne d'Alexis Creek,"Williams Lake, BC|Williams Lake, C.-B.",,Remove pine beetle damaged trees to reduce the risk of forest fires,,10881,350976,9/19/09,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354476,GC-WD-DEO-2009-2010-Q2-00159,Province of British Columbia|Province de la Colombie-Britannique,"Victoria, BC|Victoria, C.-B.",,Province of BC Job Opportunities Program - Master Project,,10915,30000000,7/10/09,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354477,GC-WD-DEO-2009-2010-Q2-00160,Red Deer Tennis Club and The City of Red Deer|Club de tennis de Red Deer,"Red Deer, AB",,Support improvements to the existing tennis courts in Red Deer,,9345,163897,7/31/09,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354478,GC-WD-DEO-2009-2010-Q2-00161,Crown Investments Corporation of Saskatchewan,"Regina, SK",,Conduct a feasibility study into the need to rehabilitate or to replace Mosaic Stadium,,9062,400000,6/26/09,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354479,GC-WD-DEO-2009-2010-Q2-00162,Progressive Forest Management,"Kaslo, BC|Kaslo, C.-B.",,Inventory and treatment of invasive plants along highways and forestlands,,10715,141700,8/19/09,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354480,GC-WD-DEO-2009-2010-Q2-00163,Drake Forestry Services Ltd.,"Kelowna, BC|Kelowna, C.-B.",,"Install fire pits, picnic tables, kiosks and parking lot barriers",,10511,270590,8/19/09,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354481,GC-WD-DEO-2009-2010-Q2-00164,Black Jack Cross Country Ski Club Society,"Rossland, BC|Rossland, C.-B.",,"Removal of overhang and dangerous trees, and trail widening",,10716,74159,8/19/09,,,,#NAME?,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354482,GC-WD-DEO-2009-2010-Q2-00165,Juggernaut Development Inc.,"Castlegar, BC|Castlegar, C.-B.",,"Remove hazardous trees, including those killed by the mountain pine beetle",,10722,54848,8/19/09,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
354483,GC-WD-DEO-2009-2010-Q2-00167,S&D Hunt Logging,"Cranbrook, BC|Cranbrook, C.-B.",,Ecosystem restoration activities including tree removal and invasive plant management,,10728,179483,8/19/09,,,,,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada
