Burns Lake,[50000. 29994. 49967. 76451.]
Burnside,[2380682.    4851.]
Burnt Church,[87342.  3082.]
Burnt Church First Nation,[3012.]
Burnt Cove,[ 5972. 18839.]
Burnt Islands,[82780. 21150. 18330.]
Burr,[1316.]
Burstall,[4363. 3591.]
Burtts Corner,[7028.]
Burwash Landing,[14914.]
Bury,[10947. 32736.]
Busby,[25446. 28616. 47936. 58800.]
"Busby, Alberta",[33221.]
Béarn,[93074.  6176.  8536.]
Bécancour,[105600. 290572.]
Bégin,[14287. 26286.]
CABRI,[1549.]
CALGARY,[271123.]
CAMPBELL RIVER,[1941.]
CAMROSE,[3709.]
"CAMROSE,",[4200.]
CANORA,[7182.]
CAP-SANTÉ,[1440.]
CARDSTON,[2100.]
CARMAN,[3181.]
CASTOR,[4777.]
CAWSTON,[3881.]
CAlgary,[49040.]
CAstlegar,[7756.]
CHAMPION,[14331.]
CHAPAIS,[0.]
CHEMAINUS,[7092.]
CHILLIWACK,[24305.]
"CHILLIWACK,BC",[8822.]
CHRISTOPHER LAKE,[31872.]
CLAIR,[1577.    0.]
CLarenville,[1005.]
COLD LAKE,[9554.]
CONSUL,[3097.]
COQUITLAM,[35686.]
COURTENAY,[8822.]
CRESTON,[4411.]
CROSSFIELD,[6300.]
Cabano,[ 83167. 123257. 204354. 142771. 231042. 318837.]
Cabri,[2632. 3078.]
Cache Bay,[1680.]
Cache Creek,[30229.  7756.]
Cacouna,[26570.  9059. 45244.]
Calabogie,[ 32185.  75000.  75000.  44200.  12197. 125692.]
"Calabogie, Ontario",[50000.]
Caledon,[103402.  50000. 109329. 245219.]
Caledon East,[46150.  7157. 25000.]
"Caledon, Ontario",[93147.]
Caledonia,[ 50000.  45193. 101919.]
Calgary,"[1.22337490e+07 1.16295710e+07 1.66230770e+07 3.69173660e+07
 2.16629530e+07 2.26911660e+07 8.78066200e+06 8.75749900e+06
 3.59329190e+07 1.43953540e+07 8.61230400e+06 9.87633000e+06
 1.37569068e+08]"
"Calgary, AB",[17159.]
"Calgary, Alberta",[ 1370668. 24208987.   238152.    68775.]
Calixa-Lavallée,[13998.  7968.]
Callander,[50000.  3360.  3780.]
Calmar,[11128. 10800.]
Calvert,[5224. 6237.]
Cambray,[50000.]
Cambridge,"[  52814.  455537.  362120.  823741.  530416.  454151.   91738. 1017752.
  105008.]"
Cambridge Bay,"[5.838740e+05 8.439540e+05 1.502358e+06 8.099756e+06 1.203482e+06
 5.191917e+06 3.114597e+06 7.905160e+05 5.223400e+04 7.098000e+03]"
"Cambridge Bay, Nunavut",[227300.]
"Cambridge, Ontario",[252751.  50000.]
Cambridge-Narrows,[35094.  8032. 10058.]
Camlachie,[1680.]
Campbell River,"[ 434665.  419828.  157985. 5164589.  577852.   78804.  233958.  203642.
  227375.]"
"Campbell River, British Columbia|Campbell River, Colombie-Britannique",[883052.]
Campbell's Bay,[125270. 161217.  27633. 434716.]
Campbellford,[50000. 68530. 99878. 34644. 62733.  3360.]
Campbellton,"[ 149758. 5315076.  293750.  492427.  289216.   86990. 2114306. 3751180.
  117002. 2212820.  408617.  311817.  513628. 4612909.]"
"Campbellton, New Brunswick|Campbellton, Nouveau-Brunswick",[ 347032. 3492816.]
Campbellville,[20597.]
Campbelton,[200000.]
Campellton,[50000.]
Camperville,[8028. 3178.]
Camrose,[378071. 357296.  98478.  97657. 142890. 347068. 408131. 463306. 154496.]
