prog_name_en,recipient_city,year,agreement_value
0,Mt. Pearl,2009,172089
0,Mt. Pearl,2011,67399
0,Muenster,2010,50000
0,Mulgrave,2010,93071
0,Musgravetown,2009,121645
0,Musgravetown,2012,92492
0,Muskoday,2010,7500000
0,Nakusp,2010,141496
0,Nanaimo,2009,1145715
0,Nanaimo,2010,729050
0,Nanaimo,2011,857902
0,Nanaimo,2012,567195
0,Natuashish,2010,1486269
0,Nelson,2009,812317
0,Nelson,2011,1469954
0,Nelson,2012,118810
0,Nemaska,2010,85467
0,Nemaska,2012,2713228
0,Nepean,2010,27300
0,New Carlisle,2012,95990
0,New Glasgow,2009,462268
0,New Glasgow,2012,297714
0,New Minas,2012,94844
0,New Perlican,2009,37889
0,New Perlican,2011,32095
0,New Perlican,2012,32115
0,New Richmond,2009,79484
0,New Richmond,2011,86494
0,New Westminster,2009,1599324
0,New Westminster,2010,1869802
0,New Westminster,2011,1307140
0,New Westminster,2012,804122
0,New Westminter,2010,45389
0,Newmarket,2009,128832
0,Newmarket,2010,837129
0,Newmarket,2011,2481155
0,Newmarket,2012,641180
0,Niagara Falls,2010,131457
0,Niagara Falls,2011,1644037
0,Niagara-on-the-Lake,2011,40283
0,Niagara-on-the-Lake,2012,67650
0,Nicolet,2009,133621
0,Nicolet,2012,179617
0,Nipawin,2009,89479
0,Norman Wells,2012,133419
0,Norris Arm,2010,26515
0,North Battleford,2009,110705
0,North Battleford,2011,45973
0,North Battleford,2012,312653
0,North Bay,2009,1159282
0,North Bay,2010,1457539
0,North Bay,2011,594234
0,North Bay,2012,190156
0,North Lancaster,2010,50000
0,North Vancouver,2009,1140643
0,North Vancouver,2010,959590
0,North Vancouver,2011,443540
0,North Vancouver,2012,161930
0,North York,2009,104215
0,North York,2011,106771
0,North York,2012,46500
0,Norton,2011,34349
0,Nédelec,2009,73990
0,O'Leary,2012,38507
0,Oakbank,2009,578765
0,Oakville,2009,261589
0,Oakville,2010,855940
0,Oakville,2011,1176470
0,Oakville,2012,143445
0,Odessa,2009,49750
0,Odessa,2012,32625
0,Ohsweke,2009,415000
0,Ohsweken,2009,937209
0,Ohsweken,2010,63849
0,Ohsweken,2012,2611575
0,Olds,2009,34496
0,Olds,2011,31471
0,Olds,2012,39104
0,Ompah,2012,28202
0,Ontario,2009,46752
0,Orillia,2010,50000
0,Orleans,2011,2091823
0,Orleans,2012,2077938
0,Orléans,2009,30472
0,Ormstown,2010,142003
0,Ormstown,2011,236716
0,Oro,2012,50000
0,Oromocto,2009,443937
0,Oromocto,2011,291090
0,Oromocto,2012,164011
0,Oshawa,2009,218079
0,Oshawa,2010,230404
0,Oshawa,2011,109950
0,Oshawa,2012,245929
0,Ottawa,2009,43024637
0,Ottawa,2010,28694211
0,Ottawa,2011,17138612
0,Ottawa,2012,27611943
0,Owen Sound,2009,433412
0,Pabineau First Nation,2009,39431
0,Pabineau First Nation,2010,52968
0,Pabineau First Nation,2011,42425
0,Pangnirtung,2012,193903
0,Paris,2009,45000
0,Parksville,2011,52080
0,Parry Sound,2009,180600
0,Parry Sound,2010,94148
0,Peachland,2012,49875
0,Pefferlaw,2009,31740
0,Pefferlaw,2012,27800
0,Peguis First Nation,2012,1939970
0,Pembroke,2011,3266180
0,Pembroke,2012,383081
0,Penetanguishene,2009,239579
0,Penetanguishene,2011,316424
0,Penticton,2009,28754
0,Perth,2009,385042
0,Perth,2010,691853
0,Perth,2012,304127
0,Petawawa,2011,81623
0,Peterborough,2012,297610
0,Petersfield,2010,104274
0,Petit-Rocher,2009,32075
0,Petit-Rocher,2011,30490
0,Petit-Rocher,2012,28547
0,Petrolia,2009,36500
0,Petty Harbour,2009,25659
0,Pickering,2009,87192
0,Pickering,2010,260951
0,Pickering,2011,61106
0,Pickering,2012,1034979
0,Picton,2012,50000
0,Pierrefonds,2009,84486
0,Pierrefonds,2010,63002
0,Pierrefonds,2011,53016
0,Pierrefonds,2012,78542
0,Pilleys Island,2009,48781
0,Pilot Butte,2009,217159
0,Pilot Butte,2011,173772
0,Pilot Butte,2012,77005
0,Pincher Creek,2009,31328
0,Pincher Creek,2011,33325
0,Pincher Creek,2012,41552
0,Placentia,2009,29468
0,Plaisance,2012,95977
0,Plessisville,2009,196403
0,Plessisville,2011,75000
0,Plessisville,2012,343746
0,Plum Point,2009,31927
0,Plum Point,2011,98606
0,Plum Point,2012,92785
0,Pointe-Claire,2010,227842
0,Pointe-Claire,2011,56884
0,Pointe-Claire,2012,152292
0,Pointe-à-la-Croix,2010,168756
0,Port Alberni,2011,99434
0,Port Alberni,2012,118454
0,Port Colborne,2010,50000
0,Port Colborne,2011,73500
0,Port Coquitlam,2009,194103
0,Port Coquitlam,2011,156599
0,Port Coquitlam,2012,108392
0,Port McNeill,2012,65731
0,Port Moody,2009,55649
0,Port Moody,2011,45113
0,Port Moody,2012,40180
0,Port Morien,2009,165000
0,Port Perry,2010,419395
0,Port Perry,2011,414864
0,Port Perry,2012,419825
0,Port aux Basques,2009,37068
0,Port aux Basques,2011,35498
0,Port aux Basques,2012,41370
0,Port-Cartier,2009,204304
0,Portage la Prairie,2009,50982
0,Portage la Prairie,2010,25763
0,Portage la Prairie,2011,25763
0,Portage la Prairie,2012,56711
0,Powassan,2011,31500
0,Powell River,2010,592565
0,Powell River,2011,37953
0,Powell River,2012,173212
0,Prescott,2012,50000
0,Prince Albert,2009,679248
